CODIGO,ENTIDAD,NOMBRE FANTASIA,DIRECCION,COMUNA,HORARIO REFERENCIAL,ESTE,NORTE,LONGITUD,LATITUD
272,Walmart,LIDER HIPER NOS,AV. PDTE. JORGE ALESSANDRI 20040,SAN BERNARDO,Lun-Dom 08:30 a 22:00,341092,6277598,-70.7132534136322,-33.6295800949417
273,Walmart,LIDER EXPRESS BUIN-SAN MARTIN,AV. SAN MARTIN 555,BUIN,Lun-Dom 08:30 a 22:00,339216,6265916,-70.735576486,-33.734499365
274,Walmart,LIDER EXPRESS MAIPU-ISABEL RIQUELME,AV. ISABEL RIQUELME SUR 1446,MAIPU,Lun-Dom 08:30 a 22:00,338448,6293544,-70.7388550829891,-33.485306511221
275,Walmart,LIDER EXPRESS PORTUGAL,AV. PORTUGAL 634 LOCAL 1,SANTIAGO,Lun-Dom 08:30 a 22:00,348067,6297608,-70.6346717431647,-33.4500732628827
276,Walmart,LIDER EXPRESS LAGUNA DEL SOL,SAN IGNACIO 1624,PADRE HURTADO,Lun-Dom 08:30 a 22:00,346244,6295589,-70.6546238759851,-33.4680186104286
277,Walmart,LIDER EXPRESS SALVADOR-ÑUÑOA,AV. SALVADOR 1822,ÑUÑOA,Lun-Dom 08:30 a 22:00,349285,6297662,-70.6215545684589,-33.4497634121856
278,Walmart,ACUENTA CERRILLOS,AV. LO ERRAZURIZ 1625,CERRILLOS,Lun-Dom 09:00 a 21:00,339980,6293085,-70.723027,-33.490067
279,Walmart,ACUENTA CARMEN MAIPU,AV. SUR ESQUINA CARMEN 411,MAIPU,Lun-Dom 09:00 a 21:00,336411,6289589,-70.7620630093553,-33.5210544505879
280,Walmart,ACUENTA CUIDAD SATELITE,CAMINO A MELIPILLA 18500,MAIPU,Lun-Dom 09:00 a 21:00,333464,6285918,-70.79446925,-33.55369251
281,Walmart,ACUENTA PEÑAFLOR,VEITIUNO DE MAYO 475,PEÑAFLOR,Lun-Dom 09:00 a 21:00,323889,6279694,-70.898796,-33.608257
282,Walmart,ACUENTA EL MONTE,LOS LIBERTADORES 453,EL MONTE,Lun-Dom 09:00 a 21:00,316284,6271439,-70.9824197080847,-33.6813888357299
283,Walmart,ACUENTA TRAVESIA,AV. LA TRAVESIA 7127,PUDAHUEL,Lun-Dom 09:00 a 21:00,338502,6296586,-70.7383005350336,-33.4582852089311
